epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.756,1.96799,1.44839,1.4481,0.61096,0.70415,0.64849,0.22403,2.07618,1.24856,1.53668,0.000551257,0.000551257,0.000551257
2,307.246,2.00683,1.27217,1.43665,0.81118,0.70287,0.68586,0.25901,1.97805,1.19032,1.46212,0.00109596,0.00109596,0.00109596
3,509.934,1.99231,1.45971,1.51296,0.61511,0.62818,0.66619,0.25549,2.09548,1.62982,1.73804,0.00162967,0.00162967,0.00162967
4,679.416,2.10479,1.5298,1.58378,0.41941,0.67657,0.66661,0.26688,2.06502,3.48666,1.52902,0.00161749,0.00161749,0.00161749
5,794.483,2.06397,1.51053,1.54309,0.57066,0.69673,0.65456,0.25919,1.89774,1.3348,1.62016,0.00160099,0.00160099,0.00160099
6,932.499,1.97845,1.30753,1.54468,0.64127,0.7574,0.6898,0.27648,1.98334,1.19847,1.48605,0.00158448,0.00158448,0.00158448
7,1091.14,1.92201,1.27287,1.49559,0.66428,0.73159,0.68349,0.25185,1.88255,1.25191,1.51193,0.00156798,0.00156798,0.00156798
8,1293.93,1.88194,1.22583,1.46828,0.72606,0.81651,0.76125,0.29031,1.94414,1.10157,1.52644,0.00155148,0.00155148,0.00155148
9,1425.51,1.87276,1.13593,1.46077,0.69405,0.80249,0.7636,0.30945,1.91226,1.08004,1.43219,0.00153497,0.00153497,0.00153497
10,1582.07,1.84582,1.07289,1.40443,0.81518,0.7384,0.80227,0.33573,1.90614,1.03425,1.44281,0.00151847,0.00151847,0.00151847
11,1718.1,1.83895,1.09061,1.42165,0.96698,0.84601,0.90891,0.36613,1.86833,1.02195,1.44544,0.00150197,0.00150197,0.00150197
12,1865.15,1.83447,1.10575,1.42737,0.80119,0.79481,0.83646,0.34934,1.8816,0.99934,1.44028,0.00148546,0.00148546,0.00148546
13,1968.72,1.82535,1.05289,1.41439,0.77237,0.79302,0.80995,0.30965,1.87896,1.01069,1.44319,0.00146896,0.00146896,0.00146896
14,2136.08,1.93485,1.02342,1.48352,0.69808,0.76353,0.75747,0.31529,1.84762,1.06444,1.47799,0.00145246,0.00145246,0.00145246
15,2430.34,1.81552,1.04392,1.4303,0.71161,0.81478,0.75739,0.29889,1.85196,0.99604,1.43701,0.00143595,0.00143595,0.00143595
16,2547.53,1.85757,1.01065,1.43541,0.79629,0.72297,0.80387,0.34274,1.83376,0.99663,1.43175,0.00141945,0.00141945,0.00141945
17,2672.76,1.80328,1.00293,1.41699,0.82174,0.7182,0.81243,0.31976,1.90682,1.02268,1.44885,0.00140295,0.00140295,0.00140295
18,2795.33,1.83506,0.99464,1.41244,0.83064,0.78243,0.81494,0.34391,1.88533,0.99331,1.42481,0.00138644,0.00138644,0.00138644
19,3040.02,1.8313,1.01086,1.43167,0.81697,0.79938,0.82634,0.33168,1.93159,1.02573,1.45093,0.00136994,0.00136994,0.00136994
20,3221.48,1.82299,1.02626,1.41209,0.84212,0.78356,0.85609,0.349,1.88427,1.00556,1.42649,0.00135344,0.00135344,0.00135344
21,3396.45,1.81688,1.03513,1.40373,0.87203,0.81961,0.85746,0.3514,1.86227,0.92668,1.40351,0.00133693,0.00133693,0.00133693
22,3490.37,1.78708,0.93889,1.39635,0.80858,0.79972,0.85189,0.35125,1.83601,0.93654,1.40384,0.00132043,0.00132043,0.00132043
23,3657.55,1.7782,0.94527,1.38519,0.80406,0.79195,0.82388,0.34412,1.85436,0.96354,1.40257,0.00130393,0.00130393,0.00130393
24,3829.84,1.7592,0.95238,1.35718,0.84147,0.75563,0.81865,0.33891,1.90321,0.9213,1.40781,0.00128742,0.00128742,0.00128742
25,4013.64,1.79942,0.94968,1.39691,0.8127,0.88532,0.84183,0.36164,1.91709,0.92752,1.43926,0.00127092,0.00127092,0.00127092
26,4254.94,1.76608,1.33063,1.35268,0.83136,0.85036,0.84229,0.34031,1.83346,0.95584,1.3934,0.00125442,0.00125442,0.00125442
27,4474.05,1.76392,0.97882,1.3787,0.88267,0.86162,0.86501,0.35772,1.8828,0.8906,1.38362,0.00123791,0.00123791,0.00123791
28,4645.08,1.74383,0.96341,1.38562,0.87225,0.82003,0.85491,0.35891,1.80229,0.98057,1.39396,0.00122141,0.00122141,0.00122141
